NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
Laura,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320102,Salado,2517,7066385.84048000000,366881.76345500000,-26.51682681,-70.33597626
General Kuroki,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320102,Salado,2518,7067272.64302000000,365890.63120400000,-26.5087284,-70.34582776
Chollay,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330204,Conay,2519,6793756.55713000000,387411.96109400000,-28.97930947,-70.15566352
El Canuto,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330204,Conay,2520,6788322.17521000000,388329.36011700000,-29.02843072,-70.14678974
Corral,Otros,03,Atacama,033,Huasco,03302,Alto Del Carmen,0330204,Conay,2521,6802603.01850000000,397548.59940300000,-28.90032818,-70.05082499
Fosforita,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310201,Caldera,2522,6993891.47076000000,313126.37526100000,-27.16493887,-70.88607807
Camino Costero,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310201,Caldera,2523,6993393.81800000000,308602.25930900000,-27.16880813,-70.93179565
Ovallina,Otros,03,Atacama,031,Copiap¾,03102,Caldera,0310202,Totoralillo,2524,7040527.26643000000,328121.63265200000,-26.74602644,-70.7283563
El Pueblino,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320204,Inca de Oro,2525,7046882.67639000000,415001.31470900000,-26.69660876,-69.85441036
Milanesa,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2526,7088395.49485000000,384526.64112100000,-26.3196836,-70.15693881
Sotcar,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2527,7097541.87406000000,389568.66452300000,-26.2375104,-70.10564709
Tranque Pampa Austral,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2528,7094546.84593000000,392563.69265800000,-26.26477693,-70.07591398
La Quinta Los Cha±arales,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2529,7080049.38594000000,396679.82077400000,-26.39596242,-70.03586298
Quinta Vieja,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2530,7080542.14724000000,396933.66750500000,-26.39153222,-70.0332787
Crianza,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2531,7079392.37087000000,394335.47155900000,-26.40172176,-70.05941782
Teresita,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2532,7084877.41718000000,394767.20640200000,-26.35223557,-70.05464001
Estrella,Otros,03,Atacama,032,Cha±aral,03202,Diego De Almagro,0320201,Diego de Almagro,2533,7074222.94319000000,396122.51012400000,-26.44852201,-70.04192238
Los Perales,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310117,Monte Amargo,2534,6975818.06927000000,345061.51775700000,-27.33201209,-70.56615323
Mamoro,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310117,Monte Amargo,2535,6975767.58727000000,344657.66176800000,-27.33242187,-70.57024068
Los Cipreses,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310117,Monte Amargo,2536,6976897.90056000000,347343.27550400000,-27.32252335,-70.5429606
Cerro Imßn,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310112,Toledo,2537,6987186.77747000000,361750.37949900000,-27.23119241,-70.39621792
Tigresa Uno,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310112,Toledo,2538,6955759.39161000000,363375.88630900000,-27.5150023,-70.3833286
Conchilla,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310122,Totoral,2539,6917065.01193000000,292524.47847400000,-27.85510679,-71.10707095
Por Si Acaso,Otros,03,Atacama,031,Copiap¾,03101,Copiap¾,0310118,Carrera Pinto,2540,7012524.80493000000,408310.53712200000,-27.00635757,-69.9241757
